SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
Sunshine Coast,Sunshine Coast,Inner Regional Australia,Local Road
Central West,Cabonne,Outer Regional Australia,Sub-arterial Road
Melbourne - North East,Nillumbik,Major Cities of Australia,Arterial Road
North West,Yarriambiack,Remote Australia,National or State Highway
Bendigo,Greater Bendigo,Inner Regional Australia,Local Road
Wide Bay,South Burnett,Inner Regional Australia,National or State Highway
Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,National or State Highway
North West,West Wimmera,Outer Regional Australia,Sub-arterial Road
Mornington Peninsula,Frankston,Major Cities of Australia,Collector Road
Sydney - South West,Fairfield,Major Cities of Australia,Arterial Road
Ipswich,Brisbane,Major Cities of Australia,Sub-arterial Road
Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,National or State Highway
Melbourne - South East,Casey,Major Cities of Australia,Local Road
Ballarat,Pyrenees,Inner Regional Australia,National or State Highway
Far West and Orana,Unincorporated NSW,Remote Australia,National or State Highway
Launceston and North East,Break O'Day,Outer Regional Australia,National or State Highway
Adelaide - South,Onkaparinga,Major Cities of Australia,Arterial Road
Sydney - Inner South West,Strathfield,Major Cities of Australia,National or State Highway
Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Collector Road
Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,National or State Highway
Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,National or State Highway
Melbourne - South East,Cardinia,Major Cities of Australia,Sub-arterial Road
Wide Bay,Bundaberg,Outer Regional Australia,Sub-arterial Road
Wide Bay,South Burnett,Outer Regional Australia,Sub-arterial Road
Melbourne - West,Brimbank,Major Cities of Australia,National or State Highway
Brisbane Inner City,Brisbane,Major Cities of Australia,Local Road
South Australia - South East,Mid Murray,Inner Regional Australia,Sub-arterial Road
South Australia - South East,Murray Bridge,Inner Regional Australia,Local Road
Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway
Murray,Murray River,Outer Regional Australia,National or State Highway
Melbourne - South East,Casey,Major Cities of Australia,Collector Road
Shepparton,Greater Shepparton,Inner Regional Australia,National or State Highway
Sydney - Outer South West,Camden,Major Cities of Australia,Arterial Road
Central West,Mid-Western,Outer Regional Australia,National or State Highway
Hobart,Glenorchy,Inner Regional Australia,Arterial Road
Sydney - Inner South West,Georges River,Major Cities of Australia,Collector Road
Brisbane - North,Brisbane,Major Cities of Australia,Sub-arterial Road
Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,National or State Highway
Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Collector Road
Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Local Road
Wide Bay,Bundaberg,Outer Regional Australia,National or State Highway
Sydney - Inner West,Strathfield,Major Cities of Australia,Arterial Road
Richmond - Tweed,Richmond Valley,Inner Regional Australia,National or State Highway
Sydney - Ryde,Hunters Hill,Major Cities of Australia,Local Road
South Australia - South East,Berri Barmera,Outer Regional Australia,Arterial Road
Hume,Wangaratta,Inner Regional Australia,Arterial Road
Central West,Parkes,Outer Regional Australia,Arterial Road
Capital Region,Goulburn Mulwaree,Inner Regional Australia,Sub-arterial Road
New England and North West,Gunnedah,Outer Regional Australia,Sub-arterial Road
Far West and Orana,Dubbo,Outer Regional Australia,National or State Highway
Brisbane - North,Brisbane,Major Cities of Australia,Collector Road
Wide Bay,Gympie,Outer Regional Australia,National or State Highway
Richmond - Tweed,Byron,Inner Regional Australia,Arterial Road
Far West and Orana,Cabonne,Outer Regional Australia,Sub-arterial Road
Hume,Mansfield,Outer Regional Australia,Local Road
Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,Collector Road
Ballarat,Moorabool,Inner Regional Australia,National or State Highway
Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,National or State Highway
Central West,Bathurst,Inner Regional Australia,Local Road
Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Arterial Road
New England and North West,Inverell,Outer Regional Australia,National or State Highway
Darling Downs - Maranoa,Western Downs,Outer Regional Australia,National or State Highway
Hume,Mitchell,Inner Regional Australia,Sub-arterial Road
Hume,Benalla,Inner Regional Australia,Local Road
Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,Arterial Road
Launceston and North East,Break O'Day,Outer Regional Australia,Arterial Road
North West,Mildura,Outer Regional Australia,Local Road
Latrobe - Gippsland,Wellington,Inner Regional Australia,National or State Highway
Townsville,Burdekin,Outer Regional Australia,Local Road
Central Coast,Central Coast (NSW),Inner Regional Australia,Arterial Road
Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Busway
Murray,Edward River,Outer Regional Australia,Sub-arterial Road
South Australia - South East,Coorong,Outer Regional Australia,Sub-arterial Road
Brisbane - East,Redland,Major Cities of Australia,Local Road
Launceston and North East,George Town,Outer Regional Australia,Arterial Road
Hume,Mitchell,Inner Regional Australia,National or State Highway
Richmond - Tweed,Richmond Valley,Inner Regional Australia,Local Road
Sydney - Ryde,Ryde,Major Cities of Australia,Arterial Road
Latrobe - Gippsland,Bass Coast,Inner Regional Australia,Sub-arterial Road
Latrobe - Gippsland,Wellington,Inner Regional Australia,Sub-arterial Road
Queensland - Outback,Richmond,Very Remote Australia,National or State Highway
Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Arterial Road
Launceston and North East,Northern Midlands,Outer Regional Australia,Arterial Road
Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Sub-arterial Road
Hume,Strathbogie,Inner Regional Australia,Local Road
Murray,Hay,Remote Australia,Sub-arterial Road
Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,National or State Highway
Launceston and North East,Dorset,Outer Regional Australia,Collector Road
Central West,Weddin,Outer Regional Australia,Arterial Road
Melbourne - West,Moorabool,Inner Regional Australia,National or State Highway
Melbourne - Outer East,Knox,Major Cities of Australia,Arterial Road
Central Queensland,Rockhampton,Inner Regional Australia,Access road
North West,Buloke,Outer Regional Australia,Arterial Road
Shepparton,Moira,Outer Regional Australia,Sub-arterial Road
Far West and Orana,Warrumbungle,Outer Regional Australia,National or State Highway
Toowoomba,Lockyer Valley,Inner Regional Australia,Sub-arterial Road
Central West,Lachlan,Outer Regional Australia,Arterial Road
Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Local Road
North West,Northern Grampians,Outer Regional Australia,Sub-arterial Road
New England and North West,Gunnedah,Outer Regional Australia,National or State Highway
Shepparton,Campaspe,Inner Regional Australia,Sub-arterial Road
Melbourne - Inner South,Glen Eira,Major Cities of Australia,Arterial Road
Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,National or State Highway
Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
Melbourne - West,Melton,Major Cities of Australia,Arterial Road
Moreton Bay - North,Moreton Bay,Inner Regional Australia,Sub-arterial Road
Townsville,Charters Towers,Outer Regional Australia,Local Road
Cairns,Mareeba,Outer Regional Australia,Local Road
North West,Horsham,Outer Regional Australia,National or State Highway
Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Local Road
Adelaide - North,Adelaide Plains,Inner Regional Australia,Sub-arterial Road
Melbourne - Inner,Stonnington,Major Cities of Australia,Collector Road
Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,Arterial Road
Shepparton,Campaspe,Inner Regional Australia,Arterial Road
Central West,Cowra,Inner Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Arterial Road
Far West and Orana,Gilgandra,Outer Regional Australia,National or State Highway
Brisbane Inner City,Brisbane,Major Cities of Australia,National or State Highway
Sydney - South West,Liverpool,Major Cities of Australia,Collector Road
Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia,Local Road
South Australia - South East,Alexandrina,Inner Regional Australia,National or State Highway
Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,National or State Highway
Illawarra,Wollongong,Major Cities of Australia,Arterial Road
Hume,Murrindindi,Inner Regional Australia,Arterial Road
Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia,National or State Highway
Richmond - Tweed,Tweed,Major Cities of Australia,Arterial Road
Wide Bay,South Burnett,Inner Regional Australia,Sub-arterial Road
Latrobe - Gippsland,Wellington,Inner Regional Australia,Local Road
Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,National or State Highway
Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Local Road
Logan - Beaudesert,Logan,Major Cities of Australia,National or State Highway
Melbourne - North East,Mitchell,Inner Regional Australia,Arterial Road
Cairns,Cassowary Coast,Remote Australia,National or State Highway
Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Local Road
Richmond - Tweed,Ballina,Inner Regional Australia,Local Road
Melbourne - North West,Hume,Major Cities of Australia,Local Road
Townsville,Burdekin,Outer Regional Australia,Collector Road
Brisbane - West,Brisbane,Major Cities of Australia,Collector Road
Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Local Road
Moreton Bay - South,Moreton Bay,Inner Regional Australia,Local Road
Adelaide - West,West Torrens,Major Cities of Australia,Sub-arterial Road
Far West and Orana,Warrumbungle,Outer Regional Australia,Sub-arterial Road
North West,Yarriambiack,Outer Regional Australia,National or State Highway
Melbourne - South East,Cardinia,Inner Regional Australia,Arterial Road
New England and North West,Armidale,Inner Regional Australia,National or State Highway
Melbourne - Inner South,Glen Eira,Major Cities of Australia,Local Road
Riverina,Snowy Valleys,Inner Regional Australia,National or State Highway
Sunshine Coast,Sunshine Coast,Inner Regional Australia,Sub-arterial Road
Melbourne - North West,Macedon Ranges,Inner Regional Australia,Collector Road
New England and North West,Inverell,Outer Regional Australia,Access road
Hume,Mitchell,Inner Regional Australia,Local Road
Melbourne - Outer East,Whitehorse,Major Cities of Australia,Collector Road
Queensland - Outback,Cloncurry,Very Remote Australia,Sub-arterial Road
Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Collector Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Outer Regional Australia,Arterial Road
Melbourne - South East,Greater Dandenong,Major Cities of Australia,Local Road
Adelaide - North,Tea Tree Gully,Major Cities of Australia,Collector Road
Darling Downs - Maranoa,Western Downs,Remote Australia,National or State Highway
Sydney - South West,Penrith,Major Cities of Australia,Arterial Road
Illawarra,Kiama,Inner Regional Australia,Sub-arterial Road
Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Local Road
Brisbane - East,Redland,Outer Regional Australia,Collector Road
Sydney - South West,Liverpool,Major Cities of Australia,Sub-arterial Road
Central West,Cowra,Inner Regional Australia,Arterial Road
Murray,Hay,Remote Australia,National or State Highway
Melbourne - Inner East,Boroondara,Major Cities of Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia,Arterial Road
Hobart,Sorell,Inner Regional Australia,National or State Highway
Hume,Towong,Outer Regional Australia,Arterial Road
Hobart,Brighton,Inner Regional Australia,Sub-arterial Road
South Australia - South East,Grant,Outer Regional Australia,Collector Road
Melbourne - Inner,Port Phillip,Major Cities of Australia,National or State Highway
Ballarat,Hepburn,Inner Regional Australia,Arterial Road
Central Queensland,Central Highlands (Qld),Outer Regional Australia,National or State Highway
Illawarra,Shellharbour,Major Cities of Australia,National or State Highway
Sydney - Ryde,Ryde,Major Cities of Australia,Local Road
Melbourne - Outer East,Knox,Major Cities of Australia,Pedestrian Thoroughfare
Murray,Murray River,Outer Regional Australia,Arterial Road
Toowoomba,Toowoomba,Inner Regional Australia,Sub-arterial Road
Sydney - Outer South West,Wollondilly,Inner Regional Australia,Sub-arterial Road
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Sub-arterial Road
Townsville,Charters Towers,Remote Australia,National or State Highway
Central West,Blayney,Outer Regional Australia,Sub-arterial Road
Gold Coast,Gold Coast,Major Cities of Australia,Pedestrian Thoroughfare
Capital Region,Hilltops,Outer Regional Australia,Sub-arterial Road
Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,Arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,Arterial Road
Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Local Road
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Collector Road
Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,National or State Highway
Adelaide - North,Playford,Major Cities of Australia,Sub-arterial Road
Ipswich,Lockyer Valley,Inner Regional Australia,National or State Highway
Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Collector Road
West and North West,Circular Head,Remote Australia,National or State Highway
Sydney - South West,Liverpool,Major Cities of Australia,Local Road
North West,Swan Hill,Outer Regional Australia,Arterial Road
Riverina,Murrumbidgee,Outer Regional Australia,National or State Highway
Hume,Towong,Outer Regional Australia,National or State Highway
Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Arterial Road
Ipswich,Scenic Rim,Inner Regional Australia,Local Road
Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Collector Road
Geelong,Greater Geelong,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Collector Road
Capital Region,Upper Lachlan,Outer Regional Australia,Arterial Road
Central West,Orange,Inner Regional Australia,Local Road
Moreton Bay - North,Moreton Bay,Major Cities of Australia,National or State Highway
Launceston and North East,Launceston,Inner Regional Australia,Local Road
Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Arterial Road
Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road
Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway
Central West,Cowra,Outer Regional Australia,National or State Highway
Adelaide - Central and Hills,Walkerville,Major Cities of Australia,Local Road
Sydney - City and Inner South,Bayside (NSW),Major Cities of Australia,Arterial Road
Illawarra,Sutherland,Inner Regional Australia,Arterial Road
Melbourne - Inner East,Whitehorse,Major Cities of Australia,Local Road
Hume,Strathbogie,Inner Regional Australia,Arterial Road
Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Arterial Road
Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Sub-arterial Road
Wide Bay,Gympie,Inner Regional Australia,Sub-arterial Road
Murray,Wentworth,Remote Australia,Arterial Road
South East,Tasman,Outer Regional Australia,National or State Highway
West and North West,Latrobe (Tas.),Outer Regional Australia,National or State Highway
Central Queensland,Rockhampton,Outer Regional Australia,Local Road
Melbourne - Inner East,Manningham,Major Cities of Australia,Local Road
Ipswich,Ipswich,Major Cities of Australia,Collector Road
Wide Bay,Gympie,Inner Regional Australia,National or State Highway
South Australia - Outback,Port Augusta,Outer Regional Australia,National or State Highway
Hume,Benalla,Outer Regional Australia,Local Road
New England and North West,Liverpool Plains,Outer Regional Australia,Arterial Road
Mornington Peninsula,Mornington Peninsula,Inner Regional Australia,Arterial Road
Townsville,Hinchinbrook,Remote Australia,Local Road
Adelaide - Central and Hills,Unley,Major Cities of Australia,Collector Road
Riverina,Snowy Valleys,Inner Regional Australia,Local Road
Central Queensland,Banana,Outer Regional Australia,Local Road
Adelaide - Central and Hills,Mount Barker,Major Cities of Australia,Sub-arterial Road
Sydney - City and Inner South,Inner West,Major Cities of Australia,National or State Highway
Adelaide - North,Salisbury,Major Cities of Australia,Arterial Road
Capital Region,Eurobodalla,Inner Regional Australia,National or State Highway
Sydney - Sutherland,Sutherland,Major Cities of Australia,National or State Highway
Darwin,Palmerston,Outer Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia,Sub-arterial Road
New England and North West,Tamworth,Inner Regional Australia,Local Road
West and North West,West Coast,Remote Australia,Local Road
Cairns,Tablelands,Outer Regional Australia,National or State Highway
Capital Region,Yass Valley,Inner Regional Australia,Sub-arterial Road
South Australia - South East,Tatiara,Outer Regional Australia,Local Road
Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
Capital Region,Snowy Monaro,Inner Regional Australia,Local Road
Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Collector Road
Riverina,Snowy Valleys,Outer Regional Australia,Sub-arterial Road
Riverina,Narrandera,Outer Regional Australia,National or State Highway
Adelaide - West,West Torrens,Major Cities of Australia,Arterial Road
Queensland - Outback,Etheridge,Very Remote Australia,Sub-arterial Road
Sydney - South West,Liverpool,Major Cities of Australia,National or State Highway
Central West,Bland,Outer Regional Australia,National or State Highway
Sydney - Inner South West,Georges River,Major Cities of Australia,Local Road
Brisbane - West,Brisbane,Major Cities of Australia,Sub-arterial Road
Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Sub-arterial Road
Queensland - Outback,Etheridge,Very Remote Australia,Collector Road
Central West,Forbes,Outer Regional Australia,Local Road
Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Sub-arterial Road
Central West,Oberon,Outer Regional Australia,Arterial Road
Darling Downs - Maranoa,Maranoa,Outer Regional Australia,National or State Highway
Illawarra,Wollongong,Inner Regional Australia,National or State Highway
Sydney - Sutherland,Sutherland,Major Cities of Australia,Local Road
Warrnambool and South West,Corangamite,Inner Regional Australia,Sub-arterial Road
Richmond - Tweed,Tweed,Inner Regional Australia,Local Road
Capital Region,Upper Lachlan,Inner Regional Australia,Arterial Road
Townsville,Townsville,Outer Regional Australia,Sub-arterial Road
Far West and Orana,Cobar,Very Remote Australia,Arterial Road
Melbourne - South East,Casey,Major Cities of Australia,Sub-arterial Road
Latrobe - Gippsland,Bass Coast,Inner Regional Australia,National or State Highway
Hobart,Hobart,Inner Regional Australia,National or State Highway
Illawarra,Wollongong,Inner Regional Australia,Sub-arterial Road
Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Collector Road
Wide Bay,Gympie,Inner Regional Australia,Collector Road
Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia,Local Road
Hobart,Derwent Valley,Inner Regional Australia,Local Road
Geelong,Surf Coast,Inner Regional Australia,Arterial Road
Darwin,Litchfield,Outer Regional Australia,Arterial Road
Ballarat,Moorabool,Inner Regional Australia,Sub-arterial Road
Wide Bay,Bundaberg,Inner Regional Australia,Local Road
Moreton Bay - South,Moreton Bay,Inner Regional Australia,Sub-arterial Road
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,Collector Road
West and North West,Waratah-Wynyard,Outer Regional Australia,Access road
Sydney - Ryde,Hornsby,Major Cities of Australia,Collector Road
Central Coast,Central Coast (NSW),Inner Regional Australia,Collector Road
Melbourne - North West,Hume,Major Cities of Australia,Sub-arterial Road
Ballarat,Hepburn,Inner Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia,Collector Road
Latrobe - Gippsland,Bass Coast,Inner Regional Australia,Arterial Road
Hunter Valley exc Newcastle,Muswellbrook,Outer Regional Australia,Arterial Road
Sydney - Parramatta,Parramatta,Major Cities of Australia,Collector Road
West and North West,Circular Head,Outer Regional Australia,National or State Highway
Geelong,Greater Geelong,Major Cities of Australia,Collector Road
Adelaide - South,Onkaparinga,Major Cities of Australia,Collector Road
Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Arterial Road
Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Local Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia,Collector Road
West and North West,Devonport,Outer Regional Australia,National or State Highway
Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Collector Road
Queensland - Outback,Flinders (Qld),Very Remote Australia,National or State Highway
Adelaide - South,Onkaparinga,Major Cities of Australia,Local Road
Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Sub-arterial Road
Sydney - Inner West,Burwood,Major Cities of Australia,Arterial Road
Northern Territory - Outback,Alice Springs,Remote Australia,Sub-arterial Road
Mid North Coast,Nambucca Valley,Outer Regional Australia,Arterial Road
Shepparton,Moira,Inner Regional Australia,National or State Highway
Moreton Bay - North,Somerset,Outer Regional Australia,Local Road
Melbourne - North West,Moonee Valley,Major Cities of Australia,Local Road
Northern Territory - Outback,Victoria Daly,Very Remote Australia,Arterial Road
Melbourne - Inner East,Manningham,Major Cities of Australia,Pedestrian Thoroughfare
Central West,Lachlan,Remote Australia,Arterial Road
New England and North West,Inverell,Outer Regional Australia,Sub-arterial Road
New England and North West,Gwydir,Outer Regional Australia,Sub-arterial Road
Adelaide - North,Port Adelaide Enfield,Major Cities of Australia,Arterial Road
Latrobe - Gippsland,Bass Coast,Inner Regional Australia,Collector Road
Bendigo,Macedon Ranges,Inner Regional Australia,Access road
Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
Mackay - Isaac - Whitsunday,Isaac,Remote Australia,Sub-arterial Road
Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Arterial Road
Riverina,Snowy Valleys,Outer Regional Australia,Arterial Road
Melbourne - North East,Banyule,Major Cities of Australia,Local Road
Queensland - Outback,Cloncurry,Very Remote Australia,National or State Highway
Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Arterial Road
Central West,Lithgow,Outer Regional Australia,Arterial Road
Adelaide - West,Charles Sturt,Major Cities of Australia,Sub-arterial Road
Melbourne - Outer East,Maroondah,Major Cities of Australia,Sub-arterial Road
Murray,Federation,Inner Regional Australia,Arterial Road
Capital Region,Eurobodalla,Inner Regional Australia,Sub-arterial Road
Queensland - Outback,McKinlay,Very Remote Australia,National or State Highway
Melbourne - West,Wyndham,Major Cities of Australia,National or State Highway
Riverina,Wagga Wagga,Outer Regional Australia,National or State Highway
Ipswich,Lockyer Valley,Inner Regional Australia,Local Road
Toowoomba,Toowoomba,Inner Regional Australia,National or State Highway
Central West,Lithgow,Inner Regional Australia,Local Road
Far West and Orana,Coonamble,Remote Australia,Arterial Road
Hume,Benalla,Inner Regional Australia,National or State Highway
Sydney - Baulkham Hills and Hawkesbury,Hornsby,Major Cities of Australia,Local Road
Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,Local Road
Mid North Coast,Nambucca Valley,Inner Regional Australia,Access road
Warrnambool and South West,Moyne,Outer Regional Australia,National or State Highway
Mid North Coast,Kempsey,Inner Regional Australia,Local Road
Riverina,Carrathool,Outer Regional Australia,National or State Highway
Queensland - Outback,Barcoo,Very Remote Australia,Collector Road
Central West,Bathurst,Inner Regional Australia,Sub-arterial Road
Richmond - Tweed,Ballina,Inner Regional Australia,Arterial Road
West and North West,Circular Head,Outer Regional Australia,Sub-arterial Road
Queensland - Outback,Mareeba,Outer Regional Australia,Sub-arterial Road
Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,Collector Road
South Australia - South East,Wattle Range,Outer Regional Australia,Collector Road
Melbourne - West,Brimbank,Major Cities of Australia,Local Road
South Australia - South East,Mid Murray,Inner Regional Australia,Local Road
Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Sub-arterial Road
Adelaide - North,Port Adelaide Enfield,Major Cities of Australia,Sub-arterial Road
Melbourne - West,Hobsons Bay,Major Cities of Australia,Local Road
Riverina,Temora,Outer Regional Australia,Sub-arterial Road
West and North West,Latrobe (Tas.),Outer Regional Australia,Collector Road
Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Collector Road
South Australia - South East,Tatiara,Remote Australia,Collector Road
Melbourne - West,Wyndham,Major Cities of Australia,Collector Road
Melbourne - Inner,Yarra,Major Cities of Australia,National or State Highway
Adelaide - North,Playford,Major Cities of Australia,Local Road
New England and North West,Liverpool Plains,Outer Regional Australia,Local Road
Sunshine Coast,Noosa,Inner Regional Australia,National or State Highway
South Australia - South East,Karoonda East Murray,Outer Regional Australia,Arterial Road
Darling Downs - Maranoa,Maranoa,Remote Australia,Local Road
Central Queensland,Livingstone,Inner Regional Australia,Sub-arterial Road
Richmond - Tweed,Byron,Inner Regional Australia,National or State Highway
South Australia - Outback,Port Augusta,Outer Regional Australia,Local Road
Wide Bay,Fraser Coast,Inner Regional Australia,Access road
Latrobe - Gippsland,Unincorporated Vic,Outer Regional Australia,Access road
Central West,Mid-Western,Inner Regional Australia,National or State Highway
North West,Gannawarra,Outer Regional Australia,National or State Highway
Adelaide - South,Marion,Major Cities of Australia,Sub-arterial Road
Central Queensland,Banana,Outer Regional Australia,National or State Highway
North West,Buloke,Outer Regional Australia,National or State Highway
New England and North West,Moree Plains,Outer Regional Australia,Local Road
Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,National or State Highway
Riverina,Griffith,Outer Regional Australia,Sub-arterial Road
Richmond - Tweed,Lismore,Inner Regional Australia,Arterial Road
South Australia - Outback,Ceduna,Very Remote Australia,Collector Road
Sydney - Ryde,Parramatta,Major Cities of Australia,Arterial Road
Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,Collector Road
North West,Northern Grampians,Outer Regional Australia,Arterial Road
Hobart,Derwent Valley,Inner Regional Australia,National or State Highway
New England and North West,Tamworth,Inner Regional Australia,National or State Highway
South Australia - South East,Grant,Outer Regional Australia,Sub-arterial Road
Moreton Bay - South,Moreton Bay,Major Cities of Australia,Collector Road
Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,Collector Road
Central West,Mid-Western,Inner Regional Australia,Access road
Sydney - Ryde,Parramatta,Major Cities of Australia,Collector Road
Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Arterial Road
Illawarra,Shellharbour,Inner Regional Australia,National or State Highway
North West,Swan Hill,Outer Regional Australia,National or State Highway
Darwin,Darwin,Outer Regional Australia,Arterial Road
Launceston and North East,Launceston,Inner Regional Australia,Arterial Road
Sydney - Sutherland,Sutherland,Major Cities of Australia,Arterial Road
Geelong,Golden Plains,Inner Regional Australia,Sub-arterial Road
Townsville,Townsville,Outer Regional Australia,Collector Road
Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Local Road
Mornington Peninsula,Frankston,Major Cities of Australia,National or State Highway
Logan - Beaudesert,Logan,Inner Regional Australia,Sub-arterial Road
Melbourne - Inner,Melbourne,Major Cities of Australia,Local Road
Melbourne - North East,Darebin,Major Cities of Australia,Arterial Road
Geelong,Golden Plains,Inner Regional Australia,Local Road
Hobart,Brighton,Inner Regional Australia,Arterial Road
Latrobe - Gippsland,Baw Baw,Outer Regional Australia,Access road
Northern Territory - Outback,Central Desert,Very Remote Australia,Sub-arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,Local Road
Capital Region,Goulburn Mulwaree,Inner Regional Australia,Local Road
Melbourne - South East,Monash,Major Cities of Australia,Sub-arterial Road
Sydney - Outer South West,Sutherland,Inner Regional Australia,Arterial Road
Bendigo,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,National or State Highway
Melbourne - North West,Hume,Major Cities of Australia,Collector Road
Mid North Coast,Kempsey,Outer Regional Australia,Arterial Road
Adelaide - South,Mitcham,Major Cities of Australia,Sub-arterial Road
Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,National or State Highway
Hume,Strathbogie,Inner Regional Australia,National or State Highway
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Local Road
South Australia - South East,Murray Bridge,Inner Regional Australia,National or State Highway
Far West and Orana,Coonamble,Remote Australia,Sub-arterial Road
South Australia - South East,Coorong,Outer Regional Australia,National or State Highway
Central Queensland,Gladstone,Inner Regional Australia,Sub-arterial Road
Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia,Sub-arterial Road
South Australia - Outback,Wudinna,Very Remote Australia,National or State Highway
Queensland - Outback,Murweh,Very Remote Australia,Sub-arterial Road
Hobart,Clarence,Inner Regional Australia,National or State Highway
Melbourne - North East,Whittlesea,Major Cities of Australia,Collector Road
